word,emotion
bigoted,sadness
bile,anger
bile,disgust
biopsy,fear
birch,anger
birch,disgust
birch,fear
birth,anticipation
birth,fear
birth,joy
birth,trust
birthday,anticipation
birthday,joy
birthday,surprise
birthplace,anger
bitch,anger
bitch,disgust
bitch,fear
bitch,sadness
bitterly,anger
bitterly,disgust
bitterly,sadness
bitterness,anger
bitterness,disgust
bitterness,sadness
bizarre,surprise
black,sadness
blackmail,anger
blackmail,fear
blackness,fear
blackness,sadness
blame,anger
blame,disgust
blanket,trust
blasphemous,anger
blasphemous,disgust
blasphemy,anger
blast,anger
blast,fear
blast,surprise
blatant,anger
blatant,disgust
blaze,anger
bleak,sadness
bleeding,disgust
bleeding,fear
bleeding,sadness
blemish,anger
blemish,disgust
blemish,fear
blemish,sadness
bless,anticipation
bless,joy
bless,trust
blessed,joy
blessing,anticipation
blessing,joy
blessing,trust
blessings,anticipation
blessings,joy
blessings,surprise
blessings,trust
blight,disgust
blight,fear
blight,sadness
blighted,disgust
blighted,sadness
blindfold,anticipation
blindfold,fear
blindfold,surprise
blindly,sadness
blindness,sadness
bliss,joy
blissful,joy
blister,disgust
blitz,surprise
bloated,disgust
blob,disgust
blob,fear
blockade,anger
blockade,fear
blockade,sadness
bloodshed,anger
bloodshed,disgust
bloodshed,fear
bloodshed,sadness
bloodshed,surprise
bloodthirsty,anger
bloodthirsty,disgust
bloodthirsty,fear
bloody,anger
bloody,disgust
bloody,fear
bloody,sadness
bloom,anticipation
bloom,joy
bloom,trust
blossom,joy
blue,sadness
blues,fear
blues,sadness
blunder,disgust
blunder,sadness
board,anticipation
bodyguard,trust
bogus,anger
bogus,disgust
boil,disgust
boisterous,anger
boisterous,anticipation
boisterous,joy
bomb,anger
bomb,fear
bomb,sadness
bomb,surprise
bombard,anger
bombard,fear
bombardment,anger
bombardment,fear
bombed,disgust
bomber,fear
bomber,sadness
bonanza,joy
bondage,fear
bondage,sadness
bonus,anticipation
bonus,joy
bonus,surprise
boomerang,anticipation
boomerang,trust
boredom,sadness
bothering,anger
bothering,sadness
bottom,sadness
bottomless,fear
bountiful,anticipation
bountiful,joy
bounty,anticipation
bounty,joy
bounty,trust
bouquet,joy
bouquet,trust
bout,anger
bovine,disgust
bowels,disgust
boxing,anger
boy,disgust
bran,disgust
brawl,anger
brawl,disgust
